model_name,best_epoch,score,macro_f1,weighted_f1,test_loss,train_loss,class_1_precision,class_1_recall,class_1_f1_score,class_1_support,class_0_support,train_class_0_count,train_class_1_count,test_class_0_count,test_class_1_count
Messenger_4_SUB_EN.jsonl,2,0.496,0.5,0.98,0.06,0.01,0.0,0.0,0.0,1.0,72.0,655,1,72,1
Just_Detection_EN.jsonl,6,2.462,0.8,0.95,0.29,0.02,0.71,0.56,0.62,9.0,132.0,1196,90,132,9
Just_5_SUB_EN.jsonl,3,0.44999999999999996,0.47,0.84,0.36,0.36,0.0,0.0,0.0,1.0,8.0,76,14,8,1
Pol_3_SUB_EN.jsonl,4,2.79,0.78,0.89,0.19,0.13,0.57,0.67,0.62,6.0,39.0,356,61,39,6
Solution_2_SUB_FR.jsonl,4,3.9720000000000004,0.96,0.98,0.09,0.12,0.88,1.0,0.93,7.0,39.0,0,0,0,0
Emotion:_Neutral_FR.jsonl,1,3.4480000000000004,0.71,0.71,0.6,0.66,0.67,0.9,0.77,80.0,76.0,691,726,76,80
Secu_Detection_FR.jsonl,7,0.496,0.5,0.98,0.05,0.05,0.0,0.0,0.0,2.0,155.0,1397,19,155,2
Pol_1_SUB_FR.jsonl,7,3.2640000000000002,0.73,0.85,0.37,0.2,0.42,0.83,0.56,6.0,42.0,382,58,42,6
Eco_2_SUB_FR.jsonl,5,0.484,0.49,0.95,0.15,0.13,0.0,0.0,0.0,1.0,27.0,245,7,27,1
Event_1_SUB_EN.jsonl,5,3.97,0.96,0.97,0.07,0.03,0.89,1.0,0.94,8.0,25.0,226,72,25,8
Messenger_6_SUB_FR.jsonl,7,3.6940000000000004,0.93,0.96,0.31,0.03,0.85,0.92,0.88,12.0,68.0,620,117,68,12
Eco_Detection_FR.jsonl,9,3.6820000000000004,0.87,0.92,0.43,0.02,0.68,0.93,0.79,28.0,129.0,1164,252,129,28
Messenger_3_SUB_EN.jsonl,2,0.496,0.5,0.98,0.07,0.03,0.0,0.0,0.0,1.0,72.0,653,3,72,1
Emotion:_Negative_EN.jsonl,2,2.8099999999999996,0.63,0.64,0.7,0.47,0.51,0.72,0.6,54.0,88.0,794,491,88,54
Event_4_SUB_FR.jsonl,9,4.0,1.0,1.0,0.03,0.06,1.0,1.0,1.0,2.0,37.0,337,18,37,2
Messenger_9_SUB_FR.jsonl,8,3.81,0.92,0.93,0.22,0.03,0.82,0.96,0.88,24.0,57.0,513,223,57,24
Just_2_SUB_EN.jsonl,8,3.9120000000000004,0.89,0.89,0.36,0.16,0.8,1.0,0.89,4.0,5.0,52,38,5,4
Pol_4_SUB_EN.jsonl,4,2.236,0.74,0.96,0.06,0.02,0.5,0.5,0.5,2.0,43.0,396,21,43,2
